"simulation_id","seed","dgp","cv_method","cv_mse","test_mse","estimation_error","squared_estimation_error","absolute_estimation_error","runtime_seconds","n_train","n_test","n_validation_predictions","k","h","success","error_message"
14,20274816,"AR(1)","blocked",1.25755107946906,1.12636919898864,0.131181880480419,0.0172086857663789,0.131181880480419,0.00942301750183105,154,66,154,5,NA,TRUE,""
14,20274816,"AR(1)","hblock",1.28929580154765,1.12636919898864,0.162926602559004,0.0265450778214196,0.162926602559004,0.00966811180114746,154,66,154,5,5,TRUE,""
14,20274816,"AR(1)","rolling_origin",1.49231356138828,1.12636919898864,0.365944362399641,0.13391527637208,0.365944362399641,0.00942802429199219,154,66,77,5,NA,TRUE,""
15,20275816,"AR(1)","kfold",0.927335786588429,1.14549878444543,-0.218162997857,0.0475950936339534,0.218162997857,0.00922584533691406,154,66,154,5,NA,TRUE,""
15,20275816,"AR(1)","blocked",0.918870509974414,1.14549878444543,-0.226628274471015,0.0513603747897097,0.226628274471015,0.0085608959197998,154,66,154,5,NA,TRUE,""
15,20275816,"AR(1)","hblock",0.932289116251413,1.14549878444543,-0.213209668194016,0.0454583626114024,0.213209668194016,0.0091249942779541,154,66,154,5,5,TRUE,""
15,20275816,"AR(1)","rolling_origin",0.900650506551879,1.14549878444543,-0.24484827789355,0.0599506791874369,0.24484827789355,0.0101909637451172,154,66,77,5,NA,TRUE,""
16,20276816,"AR(1)","kfold",1.2343680776494,0.804236742447268,0.43013133520213,0.185012965522767,0.43013133520213,0.0152318477630615,154,66,154,5,NA,TRUE,""
16,20276816,"AR(1)","blocked",1.32214889747661,0.804236742447268,0.517912155029345,0.26823300032714,0.517912155029345,0.0103960037231445,154,66,154,5,NA,TRUE,""
16,20276816,"AR(1)","hblock",1.32256765113186,0.804236742447268,0.518330908684591,0.268666930897794,0.518330908684591,0.0103549957275391,154,66,154,5,5,TRUE,""
16,20276816,"AR(1)","rolling_origin",1.32330459925401,0.804236742447268,0.519067856806737,0.269431439969939,0.519067856806737,0.00897884368896484,154,66,77,5,NA,TRUE,""
17,20277816,"AR(1)","kfold",1.08409856224382,1.10133154166429,-0.0172329794204733,0.000296975579706456,0.0172329794204733,0.0101311206817627,154,66,154,5,NA,TRUE,""
17,20277816,"AR(1)","blocked",1.11845414937854,1.10133154166429,0.0171226077142457,0.000293183694935945,0.0171226077142457,0.0103969573974609,154,66,154,5,NA,TRUE,""
17,20277816,"AR(1)","hblock",1.11868216815727,1.10133154166429,0.0173506264929753,0.000301044239698735,0.0173506264929753,0.0125880241394043,154,66,154,5,5,TRUE,""
17,20277816,"AR(1)","rolling_origin",1.03997026234013,1.10133154166429,-0.0613612793241649,0.00376520660029819,0.0613612793241649,0.0118770599365234,154,66,77,5,NA,TRUE,""
18,20278816,"AR(1)","kfold",1.07685268070245,0.703717386104946,0.373135294597499,0.139229948074363,0.373135294597499,0.0107729434967041,154,66,154,5,NA,TRUE,""
18,20278816,"AR(1)","blocked",1.05820964883524,0.703717386104946,0.354492262730294,0.125664764335644,0.354492262730294,0.0110428333282471,154,66,154,5,NA,TRUE,""
18,20278816,"AR(1)","hblock",1.07874493731578,0.703717386104946,0.37502755121083,0.140645664167191,0.37502755121083,0.0108699798583984,154,66,154,5,5,TRUE,""
18,20278816,"AR(1)","rolling_origin",0.988377927363185,0.703717386104946,0.284660541258239,0.0810316237494334,0.284660541258239,0.0103719234466553,154,66,77,5,NA,TRUE,""
19,20279816,"AR(1)","kfold",1.08051313519349,0.989432826978559,0.0910803082149347,0.00829562254452751,0.0910803082149347,0.00846004486083984,154,66,154,5,NA,TRUE,""
19,20279816,"AR(1)","blocked",1.0340193472054,0.989432826978559,0.0445865202268418,0.00198795778593858,0.0445865202268418,0.00833797454833984,154,66,154,5,NA,TRUE,""
19,20279816,"AR(1)","hblock",1.02957677797013,0.989432826978559,0.0401439509915753,0.001611536801214,0.0401439509915753,0.00867700576782227,154,66,154,5,5,TRUE,""
19,20279816,"AR(1)","rolling_origin",0.885582522631807,0.989432826978559,-0.103850304346752,0.010784885712913,0.103850304346752,0.0231339931488037,154,66,77,5,NA,TRUE,""
20,20280816,"AR(1)","kfold",1.24108253036097,1.66722974964323,-0.426147219282263,0.181601452502005,0.426147219282263,0.00888490676879883,154,66,154,5,NA,TRUE,""
20,20280816,"AR(1)","blocked",1.25699603304489,1.66722974964323,-0.410233716598349,0.168291702234094,0.410233716598349,0.0091559886932373,154,66,154,5,NA,TRUE,""
20,20280816,"AR(1)","hblock",1.26689780938881,1.66722974964323,-0.400331940254425,0.160265662387872,0.400331940254425,0.00936102867126465,154,66,154,5,5,TRUE,""
20,20280816,"AR(1)","rolling_origin",1.17051479272493,1.66722974964323,-0.496714956918302,0.24672574842635,0.496714956918302,0.00909805297851562,154,66,77,5,NA,TRUE,""
