"sim_id","dgp","cv_method","selected_model","cv_error","test_error","bias"
14,"AR(1)","kfold","LM-lag1",0.935871401599922,1.05414535209525,-0.11827395049533
14,"AR(1)","loocv","LM-lag1",0.938735940632024,1.05414535209525,-0.115409411463228
14,"AR(1)","rolling_origin","LM-lag1",0.966654262857614,1.05414535209525,-0.0874910892376382
14,"AR(1)","blocked","LM-lag1",0.948991681488854,1.05414535209525,-0.105153670606398
14,"AR(1)","hblock","LM-lag1",0.942075855200045,1.05414535209525,-0.112069496895207
15,"AR(1)","kfold","LM-lag5",1.06065250924649,1.06643710853804,-0.00578459929155062
15,"AR(1)","loocv","LM-lag1",1.05096924127168,1.07033688200958,-0.0193676407378975
15,"AR(1)","rolling_origin","LM-lag1",0.544770989520011,1.07033688200958,-0.525565892489564
15,"AR(1)","blocked","LM-lag1",1.06109562808307,1.07033688200958,-0.00924125392650876
15,"AR(1)","hblock","LM-lag1",1.05100319915014,1.07033688200958,-0.019333682859435
16,"AR(1)","kfold","LM-lag1",0.995095926843069,0.995191105542941,-9.51786998725224e-05
16,"AR(1)","loocv","LM-lag1",1.00039851677671,0.995191105542941,0.00520741123376678
16,"AR(1)","rolling_origin","LM-lag1",0.949167993649413,0.995191105542941,-0.046023111893528
16,"AR(1)","blocked","LM-lag1",0.999230618349333,0.995191105542941,0.00403951280639137
16,"AR(1)","hblock","LM-lag1",1.00214049608569,0.995191105542941,0.00694939054274801
17,"AR(1)","kfold","LM-lag1",1.09315014806596,1.03297335185593,0.0601767962100297
17,"AR(1)","loocv","LM-lag1",1.09437499279929,1.03297335185593,0.0614016409433578
17,"AR(1)","rolling_origin","LM-lag5",1.15289848219089,1.02708930134763,0.125809180843258
17,"AR(1)","blocked","LM-lag1",1.09669770140827,1.03297335185593,0.0637243495523356
17,"AR(1)","hblock","LM-lag1",1.09944082445219,1.03297335185593,0.0664674725962533
18,"AR(1)","kfold","LM-lag5",1.00273385565521,1.06091957817706,-0.0581857225218496
18,"AR(1)","loocv","LM-lag1",0.991858206173467,1.07469753956541,-0.0828393333919399
18,"AR(1)","rolling_origin","LM-lag1",0.925168448164038,1.07469753956541,-0.149529091401369
18,"AR(1)","blocked","LM-lag5",0.990962201319315,1.06091957817706,-0.0699573768577483
18,"AR(1)","hblock","LM-lag1",1.00042817150767,1.07469753956541,-0.0742693680577364
19,"AR(1)","kfold","LM-lag1",1.04845206116605,1.0516855989972,-0.00323353783115432
19,"AR(1)","loocv","LM-lag1",1.05105590113452,1.0516855989972,-0.000629697862681633
19,"AR(1)","rolling_origin","LM-lag1",1.04505281187718,1.0516855989972,-0.00663278712002358
19,"AR(1)","blocked","LM-lag1",1.06284705014245,1.0516855989972,0.0111614511452511
19,"AR(1)","hblock","LM-lag1",1.05589519421954,1.0516855989972,0.0042095952223411
20,"AR(1)","kfold","LM-lag1",0.990336704245852,1.12950669926187,-0.139169995016017
20,"AR(1)","loocv","LM-lag1",0.991696013105231,1.12950669926187,-0.137810686156637
20,"AR(1)","rolling_origin","LM-lag5",0.895907427997919,1.10440487304469,-0.208497445046769
20,"AR(1)","blocked","LM-lag1",0.992848986908867,1.12950669926187,-0.136657712353002
20,"AR(1)","hblock","LM-lag1",0.986476449474404,1.12950669926187,-0.143030249787465
21,"AR(1)","kfold","LM-lag1",0.993824445339589,0.854758960107302,0.139065485232287
21,"AR(1)","loocv","LM-lag1",1.00091400290505,0.854758960107302,0.14615504279775
21,"AR(1)","rolling_origin","LM-lag1",1.01415366666063,0.854758960107302,0.159394706553325
21,"AR(1)","blocked","LM-lag1",0.997110942676104,0.854758960107302,0.142351982568802
21,"AR(1)","hblock","LM-lag1",0.999158715661426,0.854758960107302,0.144399755554124
22,"AR(1)","kfold","LM-lag1",0.973447547520759,1.00382051986728,-0.0303729723465164
22,"AR(1)","loocv","LM-lag5",0.982714601254626,1.031240041557,-0.0485254403023689
22,"AR(1)","rolling_origin","LM-lag5",0.691071972917113,1.031240041557,-0.340168068639882
22,"AR(1)","blocked","LM-lag1",0.981324631417801,1.00382051986728,-0.022495888449474
22,"AR(1)","hblock","LM-lag5",0.978743301773491,1.031240041557,-0.0524967397835039
23,"AR(1)","kfold","LM-lag5",0.957295991585557,0.991841023930531,-0.0345450323449737
23,"AR(1)","loocv","LM-lag1",0.956224450166246,0.957685202948923,-0.00146075278267643
23,"AR(1)","rolling_origin","LM-lag1",0.846118708766695,0.957685202948923,-0.111566494182228
23,"AR(1)","blocked","LM-lag1",0.955726056826792,0.957685202948923,-0.00195914612213044
23,"AR(1)","hblock","LM-lag1",0.956257111830285,0.957685202948923,-0.00142809111863773
24,"AR(1)","kfold","LM-lag1",0.977431772129772,1.00870299523698,-0.0312712231072085
24,"AR(1)","loocv","LM-lag1",0.970153564654685,1.00870299523698,-0.0385494305822954
24,"AR(1)","rolling_origin","LM-lag5",1.1918117684252,1.07010817617695,0.121703592248251
24,"AR(1)","blocked","LM-lag1",0.967280089028671,1.00870299523698,-0.0414229062083091
24,"AR(1)","hblock","LM-lag1",0.972068619529675,1.00870299523698,-0.0366343757073052
25,"AR(1)","kfold","LM-lag1",0.922359915861194,1.1779889323314,-0.255629016470206
25,"AR(1)","loocv","LM-lag1",0.919402316983945,1.1779889323314,-0.258586615347456
25,"AR(1)","rolling_origin","LM-lag1",0.602986113776402,1.1779889323314,-0.575002818554998
25,"AR(1)","blocked","LM-lag1",0.921130681480589,1.1779889323314,-0.256858250850811
25,"AR(1)","hblock","LM-lag1",0.919396780721666,1.1779889323314,-0.258592151609735
26,"AR(1)","kfold","LM-lag1",1.00662701294876,0.99135451323727,0.0152724997114895
26,"AR(1)","loocv","LM-lag1",1.00496716114744,0.99135451323727,0.0136126479101653
26,"AR(1)","rolling_origin","LM-lag5",1.13676948498248,0.990083884569918,0.146685600412561
26,"AR(1)","blocked","LM-lag1",1.00164848954632,0.99135451323727,0.0102939763090544
26,"AR(1)","hblock","LM-lag1",1.00150786100155,0.99135451323727,0.0101533477642817
27,"AR(1)","kfold","LM-lag1",1.00579232967318,1.06803042789847,-0.0622380982252879
27,"AR(1)","loocv","LM-lag1",1.00950865172856,1.06803042789847,-0.0585217761699051
27,"AR(1)","rolling_origin","LM-lag5",0.995894351447868,1.07664539245616,-0.0807510410082873
27,"AR(1)","blocked","LM-lag1",1.0071850012093,1.06803042789847,-0.0608454266891669
27,"AR(1)","hblock","LM-lag1",1.01480002433872,1.06803042789847,-0.0532304035597453
28,"AR(1)","kfold","LM-lag1",1.05423971375839,0.981183001573568,0.0730567121848222
28,"AR(1)","loocv","LM-lag1",1.0440110884398,0.981183001573568,0.062828086866231
28,"AR(1)","rolling_origin","LM-lag1",1.13697594480132,0.981183001573568,0.155792943227747
28,"AR(1)","blocked","LM-lag1",1.06643357962858,0.981183001573568,0.0852505780550132
28,"AR(1)","hblock","LM-lag1",1.046766551487,0.981183001573568,0.0655835499134272
29,"AR(1)","kfold","LM-lag1",1.08626469582929,1.13077245044161,-0.0445077546123245
29,"AR(1)","loocv","LM-lag1",1.08379918618191,1.13077245044161,-0.0469732642597058
29,"AR(1)","rolling_origin","LM-lag1",0.970272307078849,1.13077245044161,-0.160500143362765
29,"AR(1)","blocked","LM-lag1",1.11759034849761,1.13077245044161,-0.0131821019440006
29,"AR(1)","hblock","LM-lag1",1.10332290435788,1.13077245044161,-0.0274495460837298
